"","region","district","year","pop"
"1995","Greater Accra","Ga Central",2022,301254.667537665
"1996","Eastern","Akwapim South",2022,62004.0340177324
"1997","Eastern","Denkyembour",2022,82428.7471597753
"1998","Eastern","Kwaebibirem",2022,129248.941500748
"1999","Eastern","Afram Plains South",2022,77201.4713319214
"2000","Eastern","Kwahu North",2022,71428.1492707406
"2001","Eastern","Suhum",2022,136680.474492179
"2002","Eastern","Ayensuano",2022,98828.472910922
"2003","Eastern","East Akim - Abuakwa South",2022,79482.9071758147
"2004","Eastern","Upper West Akim",2022,93957.9169576736
"2005","Eastern","West Akim",2022,133244.954697786
"2006","Bono","Dormaa West",2022,50155.9059321601
"2007","Upper West","Nadowli-Kaleo",2022,81657.1731714038
"2008","Upper West","Daffiama-Bussie-Issa",2022,41710.5724474415
"2009","Upper West","Lawra",2022,62179.02456119
"2010","Upper West","Nandom",2022,57038.9252704787
"2011","Upper East","Talensi",2022,92966.694318003
"2012","Upper East","Nabdam",2022,47718.2581924517
"2013","Upper East","Builsa South",2022,39530.7908905074
"2014","Upper East","Builsa North",2022,59885.6301448941
"2015","Upper East","Binduri",2022,74945.9688614374
"2016","Upper East","Pusiga",2022,84971.7077051308
"2017","Upper East","Bawku Municipal",2022,132760.622866307
"2018","Savannah","West Gonja",2022,69796.2729646321
"2019","Northern","Mion",2022,104460.876543863
"2020","Northern","Yendi",2022,162573.935501624
"2021","Northern","Tolon",2022,132259.28794881
